TierType,TierName,Label,Start,Mid,End,Duration
IntervalTier,words,World,1110150,1110569,1110989,839
IntervalTier,words,,1110989,1113225,1115462,4473
IntervalTier,words,diet,1115462,1115826,1116190,728
IntervalTier,words,,1116190,1117650,1119110,2920
IntervalTier,words,time,1119110,1119474,1119838,728
IntervalTier,words,,1119838,1121246,1122654,2816
IntervalTier,words,everywhere,1122654,1123176,1123698,1044
IntervalTier,words,,1123698,1126411,1129125,5427
IntervalTier,words,eating,1129125,1129535,1129945,820
IntervalTier,words,,1129945,1131791,1133638,3693
IntervalTier,words,going,1133638,1134094,1134551,913
IntervalTier,words,,1134551,1135359,1136167,1616
IntervalTier,words,great,1136167,1136428,1136689,522
IntervalTier,words,,1136689,1138246,1139803,3114
IntervalTier,words,girls,1139803,1140083,1140363,560
IntervalTier,words,,1140363,1141658,1142954,2591
IntervalTier,words,snakes,1142954,1143206,1143458,504
IntervalTier,words,,1143458,1144726,1145994,2536
IntervalTier,words,smores,1145994,1146395,1146796,802
IntervalTier,words,,1146796,1148819,1150843,4047
IntervalTier,words,snacks,1150843,1151104,1151365,522
IntervalTier,words,,1151365,1152307,1153249,1884
IntervalTier,words,so,1153249,1153715,1154181,932
IntervalTier,words,,1154181,1155362,1156543,2362
IntervalTier,words,oranges,1156543,1157028,1157513,970
IntervalTier,words,,1157513,1159163,1160814,3301
IntervalTier,words,soda,1160814,1161224,1161634,820
IntervalTier,words,,1161634,1162809,1163984,2350
IntervalTier,words,again,1163984,1164394,1164805,821
IntervalTier,words,,1164805,1166647,1168489,3684
IntervalTier,words,never,1168489,1169039,1169589,1100
IntervalTier,words,,1169589,1173527,1177466,7877
IntervalTier,words,reading,1177466,1177895,1178324,858
IntervalTier,words,,1178324,1180960,1183596,5272
IntervalTier,words,getting,1183596,1184137,1184678,1082
IntervalTier,words,,1184678,1185703,1186729,2051
IntervalTier,words,great,1186729,1187018,1187307,578
IntervalTier,words,,1187307,1188242,1189177,1870
IntervalTier,words,to,1189177,1189466,1189755,578
IntervalTier,words,,1189755,1191661,1193567,3812
IntervalTier,words,obvious,1193567,1194024,1194481,914
IntervalTier,words,,1194481,1196066,1197652,3171
IntervalTier,words,so,1197652,1198090,1198528,876
IntervalTier,words,,1198528,1200078,1201629,3101
IntervalTier,words,orange,1201629,1202141,1202654,1025
IntervalTier,words,,1202654,1204148,1205643,2989
IntervalTier,words,eat,1205643,1205922,1206202,559
IntervalTier,words,,1206202,1207740,1209279,3077
IntervalTier,words,tomorrow,1209279,1209894,1210510,1231
IntervalTier,words,,1210510,1211240,1211971,1461
IntervalTier,words,world,1211971,1212325,1212680,709
IntervalTier,words,,1212680,1213739,1214798,2118
IntervalTier,words,dessert,1214798,1215255,1215712,914
IntervalTier,words,,1215712,1216933,1218155,2443
IntervalTier,words,taking,1218155,1218583,1219012,857
IntervalTier,words,,1219012,1221387,1223763,4751
IntervalTier,words,grandma,1223763,1224304,1224845,1082
IntervalTier,words,,1224845,1226103,1227362,2517
IntervalTier,words,,1227362,1227404,1227446,84
IntervalTier,words,About,1227446,1227879,1228313,867
IntervalTier,words,,1228313,1228801,1229290,977
IntervalTier,words,time,1229290,1229551,1229812,522
IntervalTier,words,,1229812,1231052,1232292,2480
IntervalTier,words,eating,1232292,1232609,1232926,634
IntervalTier,words,,1232926,1235404,1237882,4956
IntervalTier,words,gain,1237882,1238208,1238535,653
IntervalTier,words,,1238535,1239169,1239803,1268
IntervalTier,words,no,1239803,1240111,1240419,616
IntervalTier,words,,1240419,1240907,1241396,977
IntervalTier,words,opposite,1241396,1241871,1242347,951
IntervalTier,words,,1242347,1243792,1245238,2891
IntervalTier,words,elephant,1245238,1245722,1246207,969
IntervalTier,words,,1246207,1249249,1252291,6084
IntervalTier,words,taking,1252291,1252773,1253255,964
IntervalTier,words,,1253255,1255012,1256769,3514
IntervalTier,words,good,1256769,1257054,1257339,570
IntervalTier,words,* ,1257339,1264352,1271365,14026
